desired_identifier,cadidate_identifier,desired_given_exp,candidate_given_exp,Penality Given,Global Similarity Given,Final Similarity Given,desired_then_exp,candidate_then_exp,Penality Then,Global Similarity Then,Final Similarity Then,Scenario Similarity,desired_given_vars,candidate_given_vars,desired_then_vars,candidate_then_vars,intersection_given_vars,intersection_then_vars,given_plus,given_less,then_plus,then_less,#given_plus,#given_less,#then_plus,#then_less,tipo_de_erro,tipo_de_erro_num,tipo_de_erro_jittered
Desired_11,candidate,battery >= 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30 AND source_distance == 0 AND a > 10,height >= 30 AND source_distance == 0,0.3103448275862068,1.0,0.6896551724137931,0.841,battery,"battery, satellite_count, wind_speed","height, source_distance, a","height, source_distance",battery,"source_distance, height",,"satellite_count, wind_speed",a,,0,2,1,0,Combined,1,1.0962875811631005
Desired_12,candidate,battery >= 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30 AND source_distance == 0 AND b > 10,height >= 30 AND source_distance == 0,0.3103448275862068,1.0,0.6896551724137931,0.841,battery,"battery, satellite_count, wind_speed","height, source_distance, b","height, source_distance",battery,"source_distance, height",,"satellite_count, wind_speed",b,,0,2,1,0,Combined,1,1.0417405645282112
Desired_13,candidate,battery >= 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30 AND a > 10 AND b > 10,height >= 30 AND source_distance == 0,0.6551724137931034,1.0,0.3448275862068966,0.726,battery,"battery, satellite_count, wind_speed","height, a, b","height, source_distance",battery,height,,"satellite_count, wind_speed","a, b",source_distance,0,2,2,1,Combined,1,1.0735311112168044
Desired_14,candidate,battery >= 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,source_distance == 0 AND a > 10 AND b > 10,height >= 30 AND source_distance == 0,0.6551724137931034,1.0,0.3448275862068966,0.726,battery,"battery, satellite_count, wind_speed","source_distance, a, b","height, source_distance",battery,source_distance,,"satellite_count, wind_speed","a, b",height,0,2,2,1,Combined,1,0.9512514806675988
Desired_15,candidate,battery >= 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30 AND source_distance == 0 AND a > 10 AND b > 10,height >= 30 AND source_distance == 0,0.4736842105263158,1.0,0.5263157894736842,0.787,battery,"battery, satellite_count, wind_speed","height, source_distance, a, b","height, source_distance",battery,"source_distance, height",,"satellite_count, wind_speed","a, b",,0,2,2,0,Combined,1,0.9930035422426409
Desired_16,candidate,satellite_count >= 7,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30,height >= 30 AND source_distance == 0,0.0909090909090909,1.0,0.9090909090909092,0.914,satellite_count,"battery, satellite_count, wind_speed",height,"height, source_distance",satellite_count,height,,"battery, wind_speed",,source_distance,0,2,0,1,Missing,0,0.08787095395047692
Desired_17,candidate,satellite_count >= 7,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,source_distance == 0,height >= 30 AND source_distance == 0,0.0909090909090909,1.0,0.9090909090909092,0.914,satellite_count,"battery, satellite_count, wind_speed",source_distance,"height, source_distance",satellite_count,source_distance,,"battery, wind_speed",,height,0,2,0,1,Missing,0,0.021339761116089706
Desired_18,candidate,satellite_count >= 7,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,a > 10,height >= 30 AND source_distance == 0,1.0,0.0,-1.0,0.278,satellite_count,"battery, satellite_count, wind_speed",a,"height, source_distance",satellite_count,,,"battery, wind_speed",a,"source_distance, height",0,2,1,2,Combined,1,0.9754679533063738
Desired_19,candidate,satellite_count >= 7,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,b > 10,height >= 30 AND source_distance == 0,1.0,0.0,-1.0,0.278,satellite_count,"battery, satellite_count, wind_speed",b,"height, source_distance",satellite_count,,,"battery, wind_speed",b,"source_distance, height",0,2,1,2,Combined,1,0.930327254394909
Desired_20,candidate,satellite_count >= 7,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30 AND source_distance == 0,height >= 30 AND source_distance == 0,0.0,1.0,1.0,0.944,satellite_count,"battery, satellite_count, wind_speed","height, source_distance","height, source_distance",satellite_count,"source_distance, height",,"battery, wind_speed",,,0,2,0,0,Missing,0,0.030158802279836944
Desired_21,candidate,satellite_count >= 7,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30 AND a > 10,height >= 30 AND source_distance == 0,0.5,1.0,0.5,0.778,satellite_count,"battery, satellite_count, wind_speed","height, a","height, source_distance",satellite_count,height,,"battery, wind_speed",a,source_distance,0,2,1,1,Combined,1,1.016221545202386
Desired_22,candidate,satellite_count >= 7,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30 AND b > 10,height >= 30 AND source_distance == 0,0.5,1.0,0.5,0.778,satellite_count,"battery, satellite_count, wind_speed","height, b","height, source_distance",satellite_count,height,,"battery, wind_speed",b,source_distance,0,2,1,1,Combined,1,1.0801713575480427
Desired_23,candidate,satellite_count >= 7,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,source_distance == 0 AND a > 10,height >= 30 AND source_distance == 0,0.5,1.0,0.5,0.778,satellite_count,"battery, satellite_count, wind_speed","source_distance, a","height, source_distance",satellite_count,source_distance,,"battery, wind_speed",a,height,0,2,1,1,Combined,1,1.0423517755394178
Desired_24,candidate,satellite_count >= 7,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,source_distance == 0 AND b > 10,height >= 30 AND source_distance == 0,0.5,1.0,0.5,0.778,satellite_count,"battery, satellite_count, wind_speed","source_distance, b","height, source_distance",satellite_count,source_distance,,"battery, wind_speed",b,height,0,2,1,1,Combined,1,1.020698040811124
Desired_25,candidate,satellite_count >= 7,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,a > 10 AND b > 10,height >= 30 AND source_distance == 0,1.0,0.0,-1.0,0.278,satellite_count,"battery, satellite_count, wind_speed","a, b","height, source_distance",satellite_count,,,"battery, wind_speed","a, b","source_distance, height",0,2,2,2,Combined,1,0.9659407086786101
Desired_26,candidate,satellite_count >= 7,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30 AND source_distance == 0 AND a > 10,height >= 30 AND source_distance == 0,0.3103448275862068,1.0,0.6896551724137931,0.841,satellite_count,"battery, satellite_count, wind_speed","height, source_distance, a","height, source_distance",satellite_count,"source_distance, height",,"battery, wind_speed",a,,0,2,1,0,Combined,1,0.9651476749509182
Desired_27,candidate,satellite_count >= 7,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30 AND source_distance == 0 AND b > 10,height >= 30 AND source_distance == 0,0.3103448275862068,1.0,0.6896551724137931,0.841,satellite_count,"battery, satellite_count, wind_speed","height, source_distance, b","height, source_distance",satellite_count,"source_distance, height",,"battery, wind_speed",b,,0,2,1,0,Combined,1,0.981368566308096
Desired_28,candidate,satellite_count >= 7,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30 AND a > 10 AND b > 10,height >= 30 AND source_distance == 0,0.6551724137931034,1.0,0.3448275862068966,0.726,satellite_count,"battery, satellite_count, wind_speed","height, a, b","height, source_distance",satellite_count,height,,"battery, wind_speed","a, b",source_distance,0,2,2,1,Combined,1,1.040989767852775
Desired_29,candidate,satellite_count >= 7,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,source_distance == 0 AND a > 10 AND b > 10,height >= 30 AND source_distance == 0,0.6551724137931034,1.0,0.3448275862068966,0.726,satellite_count,"battery, satellite_count, wind_speed","source_distance, a, b","height, source_distance",satellite_count,source_distance,,"battery, wind_speed","a, b",height,0,2,2,1,Combined,1,1.0502447444022789
Desired_30,candidate,satellite_count >= 7,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30 AND source_distance == 0 AND a > 10 AND b > 10,height >= 30 AND source_distance == 0,0.4736842105263158,1.0,0.5263157894736842,0.787,satellite_count,"battery, satellite_count, wind_speed","height, source_distance, a, b","height, source_distance",satellite_count,"source_distance, height",,"battery, wind_speed","a, b",,0,2,2,0,Combined,1,1.0723312078722382
Desired_31,candidate,wind_speed <= 36,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30,height >= 30 AND source_distance == 0,0.0909090909090909,1.0,0.9090909090909092,0.914,wind_speed,"battery, satellite_count, wind_speed",height,"height, source_distance",wind_speed,height,,"satellite_count, battery",,source_distance,0,2,0,1,Missing,0,0.049254245329845514
Desired_32,candidate,wind_speed <= 36,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,source_distance == 0,height >= 30 AND source_distance == 0,0.0909090909090909,1.0,0.9090909090909092,0.914,wind_speed,"battery, satellite_count, wind_speed",source_distance,"height, source_distance",wind_speed,source_distance,,"satellite_count, battery",,height,0,2,0,1,Missing,0,0.09235190832546378
Desired_33,candidate,wind_speed <= 36,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,a > 10,height >= 30 AND source_distance == 0,1.0,0.0,-1.0,0.278,wind_speed,"battery, satellite_count, wind_speed",a,"height, source_distance",wind_speed,,,"satellite_count, battery",a,"source_distance, height",0,2,1,2,Combined,1,1.01319924685654
Desired_34,candidate,wind_speed <= 36,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,b > 10,height >= 30 AND source_distance == 0,1.0,0.0,-1.0,0.278,wind_speed,"battery, satellite_count, wind_speed",b,"height, source_distance",wind_speed,,,"satellite_count, battery",b,"source_distance, height",0,2,1,2,Combined,1,1.0185335178248276
Desired_35,candidate,wind_speed <= 36,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30 AND source_distance == 0,height >= 30 AND source_distance == 0,0.0,1.0,1.0,0.944,wind_speed,"battery, satellite_count, wind_speed","height, source_distance","height, source_distance",wind_speed,"source_distance, height",,"satellite_count, battery",,,0,2,0,0,Missing,0,-0.002210743887217495
Desired_36,candidate,wind_speed <= 36,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30 AND a > 10,height >= 30 AND source_distance == 0,0.5,1.0,0.5,0.778,wind_speed,"battery, satellite_count, wind_speed","height, a","height, source_distance",wind_speed,height,,"satellite_count, battery",a,source_distance,0,2,1,1,Combined,1,0.9498918861978464
Desired_37,candidate,wind_speed <= 36,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30 AND b > 10,height >= 30 AND source_distance == 0,0.5,1.0,0.5,0.778,wind_speed,"battery, satellite_count, wind_speed","height, b","height, source_distance",wind_speed,height,,"satellite_count, battery",b,source_distance,0,2,1,1,Combined,1,0.9078179895533195
Desired_38,candidate,wind_speed <= 36,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,source_distance == 0 AND a > 10,height >= 30 AND source_distance == 0,0.5,1.0,0.5,0.778,wind_speed,"battery, satellite_count, wind_speed","source_distance, a","height, source_distance",wind_speed,source_distance,,"satellite_count, battery",a,height,0,2,1,1,Combined,1,1.085847976878729
Desired_39,candidate,wind_speed <= 36,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,source_distance == 0 AND b > 10,height >= 30 AND source_distance == 0,0.5,1.0,0.5,0.778,wind_speed,"battery, satellite_count, wind_speed","source_distance, b","height, source_distance",wind_speed,source_distance,,"satellite_count, battery",b,height,0,2,1,1,Combined,1,1.053772741263416
Desired_40,candidate,wind_speed <= 36,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,a > 10 AND b > 10,height >= 30 AND source_distance == 0,1.0,0.0,-1.0,0.278,wind_speed,"battery, satellite_count, wind_speed","a, b","height, source_distance",wind_speed,,,"satellite_count, battery","a, b","source_distance, height",0,2,2,2,Combined,1,1.087253994214558
Desired_41,candidate,wind_speed <= 36,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30 AND source_distance == 0 AND a > 10,height >= 30 AND source_distance == 0,0.3103448275862068,1.0,0.6896551724137931,0.841,wind_speed,"battery, satellite_count, wind_speed","height, source_distance, a","height, source_distance",wind_speed,"source_distance, height",,"satellite_count, battery",a,,0,2,1,0,Combined,1,0.98212457857484
Desired_42,candidate,wind_speed <= 36,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30 AND source_distance == 0 AND b > 10,height >= 30 AND source_distance == 0,0.3103448275862068,1.0,0.6896551724137931,0.841,wind_speed,"battery, satellite_count, wind_speed","height, source_distance, b","height, source_distance",wind_speed,"source_distance, height",,"satellite_count, battery",b,,0,2,1,0,Combined,1,0.984181632950005
Desired_43,candidate,wind_speed <= 36,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30 AND a > 10 AND b > 10,height >= 30 AND source_distance == 0,0.6551724137931034,1.0,0.3448275862068966,0.726,wind_speed,"battery, satellite_count, wind_speed","height, a, b","height, source_distance",wind_speed,height,,"satellite_count, battery","a, b",source_distance,0,2,2,1,Combined,1,0.9659727621449562
Desired_44,candidate,wind_speed <= 36,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,source_distance == 0 AND a > 10 AND b > 10,height >= 30 AND source_distance == 0,0.6551724137931034,1.0,0.3448275862068966,0.726,wind_speed,"battery, satellite_count, wind_speed","source_distance, a, b","height, source_distance",wind_speed,source_distance,,"satellite_count, battery","a, b",height,0,2,2,1,Combined,1,1.0601019296801877
Desired_45,candidate,wind_speed <= 36,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,0.1666666666666666,1.0,0.8333333333333334,height >= 30 AND source_distance == 0 AND a > 10 AND b > 10,height >= 30 AND source_distance == 0,0.4736842105263158,1.0,0.5263157894736842,0.787,wind_speed,"battery, satellite_count, wind_speed","height, source_distance, a, b","height, source_distance",wind_speed,"source_distance, height",,"satellite_count, battery","a, b",,0,2,2,0,Combined,1,1.025459763717391
Desired_46,candidate,a > 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,1.0,0.0,-1.0,height >= 30,height >= 30 AND source_distance == 0,0.0909090909090909,1.0,0.9090909090909092,0.303,a,"battery, satellite_count, wind_speed",height,"height, source_distance",,height,a,"satellite_count, battery, wind_speed",,source_distance,1,3,0,1,Combined,1,0.9532454524405165
Desired_47,candidate,a > 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,1.0,0.0,-1.0,source_distance == 0,height >= 30 AND source_distance == 0,0.0909090909090909,1.0,0.9090909090909092,0.303,a,"battery, satellite_count, wind_speed",source_distance,"height, source_distance",,source_distance,a,"satellite_count, battery, wind_speed",,height,1,3,0,1,Combined,1,0.9798259858322272
Desired_48,candidate,a > 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,1.0,0.0,-1.0,a > 10,height >= 30 AND source_distance == 0,1.0,0.0,-1.0,0.0,a,"battery, satellite_count, wind_speed",a,"height, source_distance",,,a,"satellite_count, battery, wind_speed",a,"source_distance, height",1,3,1,2,Combined,1,1.0686326451882193
Desired_49,candidate,a > 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,1.0,0.0,-1.0,b > 10,height >= 30 AND source_distance == 0,1.0,0.0,-1.0,0.0,a,"battery, satellite_count, wind_speed",b,"height, source_distance",,,a,"satellite_count, battery, wind_speed",b,"source_distance, height",1,3,1,2,Combined,1,0.9194501005807696
Desired_50,candidate,a > 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,1.0,0.0,-1.0,height >= 30 AND source_distance == 0,height >= 30 AND source_distance == 0,0.0,1.0,1.0,0.333,a,"battery, satellite_count, wind_speed","height, source_distance","height, source_distance",,"source_distance, height",a,"satellite_count, battery, wind_speed",,,1,3,0,0,Combined,1,0.942098423025904
Desired_51,candidate,a > 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,1.0,0.0,-1.0,height >= 30 AND a > 10,height >= 30 AND source_distance == 0,0.5,1.0,0.5,0.167,a,"battery, satellite_count, wind_speed","height, a","height, source_distance",,height,a,"satellite_count, battery, wind_speed",a,source_distance,1,3,1,1,Combined,1,0.9529633381332726
Desired_52,candidate,a > 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,1.0,0.0,-1.0,height >= 30 AND b > 10,height >= 30 AND source_distance == 0,0.5,1.0,0.5,0.167,a,"battery, satellite_count, wind_speed","height, b","height, source_distance",,height,a,"satellite_count, battery, wind_speed",b,source_distance,1,3,1,1,Combined,1,1.0364752456543513
Desired_53,candidate,a > 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,1.0,0.0,-1.0,source_distance == 0 AND a > 10,height >= 30 AND source_distance == 0,0.5,1.0,0.5,0.167,a,"battery, satellite_count, wind_speed","source_distance, a","height, source_distance",,source_distance,a,"satellite_count, battery, wind_speed",a,height,1,3,1,1,Combined,1,1.0445830667528841
Desired_54,candidate,a > 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,1.0,0.0,-1.0,source_distance == 0 AND b > 10,height >= 30 AND source_distance == 0,0.5,1.0,0.5,0.167,a,"battery, satellite_count, wind_speed","source_distance, b","height, source_distance",,source_distance,a,"satellite_count, battery, wind_speed",b,height,1,3,1,1,Combined,1,0.9495872913645117
Desired_55,candidate,a > 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,1.0,0.0,-1.0,a > 10 AND b > 10,height >= 30 AND source_distance == 0,1.0,0.0,-1.0,0.0,a,"battery, satellite_count, wind_speed","a, b","height, source_distance",,,a,"satellite_count, battery, wind_speed","a, b","source_distance, height",1,3,2,2,Combined,1,1.0173889640323417
Desired_56,candidate,a > 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,1.0,0.0,-1.0,height >= 30 AND source_distance == 0 AND a > 10,height >= 30 AND source_distance == 0,0.3103448275862068,1.0,0.6896551724137931,0.23,a,"battery, satellite_count, wind_speed","height, source_distance, a","height, source_distance",,"source_distance, height",a,"satellite_count, battery, wind_speed",a,,1,3,1,0,Combined,1,1.0878265328219978
Desired_57,candidate,a > 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,1.0,0.0,-1.0,height >= 30 AND source_distance == 0 AND b > 10,height >= 30 AND source_distance == 0,0.3103448275862068,1.0,0.6896551724137931,0.23,a,"battery, satellite_count, wind_speed","height, source_distance, b","height, source_distance",,"source_distance, height",a,"satellite_count, battery, wind_speed",b,,1,3,1,0,Combined,1,0.9401490554197055
Desired_58,candidate,a > 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,1.0,0.0,-1.0,height >= 30 AND a > 10 AND b > 10,height >= 30 AND source_distance == 0,0.6551724137931034,1.0,0.3448275862068966,0.115,a,"battery, satellite_count, wind_speed","height, a, b","height, source_distance",,height,a,"satellite_count, battery, wind_speed","a, b",source_distance,1,3,2,1,Combined,1,0.979019521286669
Desired_59,candidate,a > 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,1.0,0.0,-1.0,source_distance == 0 AND a > 10 AND b > 10,height >= 30 AND source_distance == 0,0.6551724137931034,1.0,0.3448275862068966,0.115,a,"battery, satellite_count, wind_speed","source_distance, a, b","height, source_distance",,source_distance,a,"satellite_count, battery, wind_speed","a, b",height,1,3,2,1,Combined,1,1.0749013126586457
Desired_60,candidate,a > 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,1.0,0.0,-1.0,height >= 30 AND source_distance == 0 AND a > 10 AND b > 10,height >= 30 AND source_distance == 0,0.4736842105263158,1.0,0.5263157894736842,0.175,a,"battery, satellite_count, wind_speed","height, source_distance, a, b","height, source_distance",,"source_distance, height",a,"satellite_count, battery, wind_speed","a, b",,1,3,2,0,Combined,1,1.0246968065190871
Desired_61,candidate,b > 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,1.0,0.0,-1.0,height >= 30,height >= 30 AND source_distance == 0,0.0909090909090909,1.0,0.9090909090909092,0.303,b,"battery, satellite_count, wind_speed",height,"height, source_distance",,height,b,"satellite_count, battery, wind_speed",,source_distance,1,3,0,1,Combined,1,1.0110521727420843
Desired_62,candidate,b > 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,1.0,0.0,-1.0,source_distance == 0,height >= 30 AND source_distance == 0,0.0909090909090909,1.0,0.9090909090909092,0.303,b,"battery, satellite_count, wind_speed",source_distance,"height, source_distance",,source_distance,b,"satellite_count, battery, wind_speed",,height,1,3,0,1,Combined,1,0.9314650529098135
Desired_63,candidate,b > 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,1.0,0.0,-1.0,a > 10,height >= 30 AND source_distance == 0,1.0,0.0,-1.0,0.0,b,"battery, satellite_count, wind_speed",a,"height, source_distance",,,b,"satellite_count, battery, wind_speed",a,"source_distance, height",1,3,1,2,Combined,1,1.0079709338623128
Desired_64,candidate,b > 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,1.0,0.0,-1.0,b > 10,height >= 30 AND source_distance == 0,1.0,0.0,-1.0,0.0,b,"battery, satellite_count, wind_speed",b,"height, source_distance",,,b,"satellite_count, battery, wind_speed",b,"source_distance, height",1,3,1,2,Combined,1,1.0283843726273276
Desired_65,candidate,b > 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,1.0,0.0,-1.0,height >= 30 AND source_distance == 0,height >= 30 AND source_distance == 0,0.0,1.0,1.0,0.333,b,"battery, satellite_count, wind_speed","height, source_distance","height, source_distance",,"source_distance, height",b,"satellite_count, battery, wind_speed",,,1,3,0,0,Combined,1,0.9599234672793402
Desired_66,candidate,b > 10,battery >= 10 AND satellite_count >= 7 AND wind_speed <= 36,1.0,0.0,-1.0,height >= 30 AND a > 10,height >= 30 AND source_distance == 0,0.5,1.0,0.5,0.167,b,"battery, satellite_count, wind_speed","height, a","height, source_distance",,height,b,"satellite_count, battery, wind_speed",a,source_distance,1,3,1,1,Combined,1,1.0182107638884506
