#given_plus;#given_less;#then_plus;#then_less;Scenario Similarity
2;1;1;0;0.734
2;1;1;0;0.734
2;1;1;0;0.734
2;1;1;0;0.734
2;1;1;0;0.734
1;1;2;0;0.731
1;1;2;0;0.731
1;1;2;0;0.731
1;1;2;0;0.731
1;1;2;0;0.731
1;1;2;0;0.731
0;2;2;1;0.726
0;2;2;1;0.726
0;2;2;1;0.726
0;2;2;1;0.726
0;2;2;1;0.726
0;2;2;1;0.726
1;1;1;1;0.722
1;1;1;1;0.722
1;1;1;1;0.722
1;1;1;1;0.722
1;1;1;1;0.722
1;1;1;1;0.722
1;1;1;1;0.722
1;1;1;1;0.722
1;2;1;0;0.722
1;1;1;1;0.722
1;1;1;1;0.722
1;1;1;1;0.722
1;1;1;1;0.722
1;1;1;1;0.722
1;1;1;1;0.722
1;1;1;1;0.722
1;1;1;1;0.722
1;1;1;1;0.722
1;1;1;1;0.722
1;1;1;1;0.722
1;2;1;0;0.722
1;2;1;0;0.722
1;2;1;0;0.722
1;1;1;1;0.722
1;1;1;1;0.722
1;1;1;1;0.722
1;2;1;0;0.722
1;2;1;0;0.722
1;2;1;0;0.722
1;2;1;0;0.722
1;1;1;1;0.722
1;2;1;0;0.722
1;2;1;0;0.722
1;2;1;0;0.722
1;1;1;1;0.722
1;2;1;0;0.722
2;0;2;0;0.717
2;0;1;1;0.708
2;0;1;1;0.708
2;0;1;1;0.708
2;0;1;1;0.708
1;0;2;1;0.705
1;0;2;1;0.705
1;0;2;1;0.705
1;0;2;1;0.705
2;1;2;0;0.68
2;1;2;0;0.68
2;1;2;0;0.68
2;2;1;0;0.674
2;2;1;0;0.674
2;2;1;0;0.674
2;2;1;0;0.674
2;2;1;0;0.674
2;2;1;0;0.674
2;1;1;1;0.671
2;1;1;1;0.671
2;1;1;1;0.671
2;1;1;1;0.671
2;1;1;1;0.671
2;1;1;1;0.671
2;1;1;1;0.671
2;1;1;1;0.671
2;1;1;1;0.671
2;1;1;1;0.671
2;1;1;1;0.671
2;1;1;1;0.671
1;1;2;1;0.67
1;1;2;1;0.67
1;1;2;1;0.67
1;1;2;1;0.67
1;1;2;1;0.67
1;1;2;1;0.67
1;1;2;1;0.67
1;1;2;1;0.67
1;1;2;1;0.67
1;1;2;1;0.67
1;1;2;1;0.67
1;1;2;1;0.67
1;2;2;0;0.668
1;2;2;0;0.668
1;2;2;0;0.668
1;2;2;0;0.668
1;2;2;0;0.668
1;2;2;0;0.668
1;2;1;1;0.659
1;2;1;1;0.659
1;2;1;1;0.659
1;2;1;1;0.659
1;2;1;1;0.659
1;2;1;1;0.659
1;2;1;1;0.659
1;2;1;1;0.659
1;2;1;1;0.659
1;2;1;1;0.659
1;2;1;1;0.659
1;2;1;1;0.659
1;2;1;1;0.659
1;2;1;1;0.659
1;2;1;1;0.659
1;2;1;1;0.659
1;2;1;1;0.659
1;2;1;1;0.659
1;2;1;1;0.659
1;2;1;1;0.659
1;2;1;1;0.659
1;2;1;1;0.659
1;2;1;1;0.659
1;2;1;1;0.659
2;0;2;1;0.657
2;0;2;1;0.657
2;2;2;0;0.62
2;2;2;0;0.62
2;2;2;0;0.62
2;1;2;1;0.619
2;1;2;1;0.619
2;1;2;1;0.619
2;1;2;1;0.619
2;1;2;1;0.619
2;1;2;1;0.619
2;2;1;1;0.611
2;2;1;1;0.611
2;2;1;1;0.611
2;2;1;1;0.611
2;2;1;1;0.611
2;2;1;1;0.611
2;2;1;1;0.611
2;2;1;1;0.611
2;2;1;1;0.611
2;2;1;1;0.611
2;2;1;1;0.611
2;2;1;1;0.611
1;2;2;1;0.607
1;2;2;1;0.607
1;2;2;1;0.607
1;2;2;1;0.607
1;2;2;1;0.607
1;2;2;1;0.607
1;2;2;1;0.607
1;2;2;1;0.607
1;2;2;1;0.607
1;2;2;1;0.607
1;2;2;1;0.607
1;2;2;1;0.607
2;2;2;1;0.559
2;2;2;1;0.559
2;2;2;1;0.559
2;2;2;1;0.559
2;2;2;1;0.559
2;2;2;1;0.559
1;3;0;0;0.333
0;0;2;2;0.333
0;0;1;2;0.333
2;3;0;0;0.333
1;3;0;0;0.333
0;0;1;2;0.333
0;1;1;2;0.317
0;1;2;2;0.317
0;1;1;2;0.317
0;1;2;2;0.317
0;1;1;2;0.317
0;1;2;2;0.317
0;1;1;2;0.317
0;1;1;2;0.317
0;1;1;2;0.317
1;3;0;1;0.303
1;3;0;1;0.303
1;3;0;1;0.303
1;3;0;1;0.303
2;3;0;1;0.303
2;3;0;1;0.303
0;2;1;2;0.278
0;2;1;2;0.278
0;2;1;2;0.278
0;2;1;2;0.278
0;2;2;2;0.278
0;2;1;2;0.278
0;2;1;2;0.278
0;2;2;2;0.278
0;2;2;2;0.278
1;0;1;2;0.256
1;0;1;2;0.256
1;0;1;2;0.256
1;0;2;2;0.256
1;0;2;2;0.256
1;0;1;2;0.256
1;3;1;0;0.23
1;3;1;0;0.23
1;3;1;0;0.23
2;3;1;0;0.23
1;3;1;0;0.23
2;3;1;0;0.23
1;1;1;2;0.222
1;1;2;2;0.222
1;1;1;2;0.222
1;1;1;2;0.222
1;1;2;2;0.222
1;1;1;2;0.222
1;1;2;2;0.222
1;1;1;2;0.222
1;1;1;2;0.222
1;1;1;2;0.222
1;1;1;2;0.222
1;1;1;2;0.222
1;1;2;2;0.222
1;1;1;2;0.222
1;1;1;2;0.222
1;1;1;2;0.222
1;1;2;2;0.222
1;1;2;2;0.222
2;0;2;2;0.208
2;0;1;2;0.208
2;0;1;2;0.208
1;3;2;0;0.175
2;3;2;0;0.175
1;3;2;0;0.175
2;1;2;2;0.171
2;1;1;2;0.171
2;1;2;2;0.171
2;1;2;2;0.171
2;1;1;2;0.171
2;1;1;2;0.171
2;1;1;2;0.171
2;1;1;2;0.171
2;1;1;2;0.171
2;3;1;1;0.167
1;3;1;1;0.167
1;3;1;1;0.167
1;3;1;1;0.167
2;3;1;1;0.167
1;3;1;1;0.167
1;3;1;1;0.167
1;3;1;1;0.167
2;3;1;1;0.167
1;3;1;1;0.167
2;3;1;1;0.167
1;3;1;1;0.167
1;2;1;2;0.159
1;2;2;2;0.159
1;2;2;2;0.159
1;2;1;2;0.159
1;2;1;2;0.159
1;2;1;2;0.159
1;2;1;2;0.159
1;2;1;2;0.159
1;2;1;2;0.159
1;2;2;2;0.159
1;2;2;2;0.159
1;2;1;2;0.159
1;2;1;2;0.159
1;2;2;2;0.159
1;2;1;2;0.159
1;2;1;2;0.159
1;2;1;2;0.159
1;2;2;2;0.159
2;3;2;1;0.115
1;3;2;1;0.115
1;3;2;1;0.115
1;3;2;1;0.115
1;3;2;1;0.115
2;3;2;1;0.115
2;2;1;2;0.111
2;2;1;2;0.111
2;2;2;2;0.111
2;2;1;2;0.111
2;2;2;2;0.111
2;2;1;2;0.111
2;2;1;2;0.111
2;2;1;2;0.111
2;2;2;2;0.111
1;3;2;2;-0.333
2;3;2;2;-0.333
2;3;1;2;-0.333
2;3;1;2;-0.333
1;3;1;2;-0.333
1;3;2;2;-0.333
1;3;1;2;-0.333
1;3;1;2;-0.333
1;3;1;2;-0.333
